Voltage Phase-V L1(V x10);Current-A L1(mA);Power Factor-PF L1(x 100);Voltage Phase-V L2(V x10);Current-A L2(mA);Power Factor-PF L2(x 100);Voltage Phase-V L3(V x10);Current-A L3(mA);Power Factor-PF L3(x 100);kwh(kwh);time
2264;0;0;2271;0;0;2277;0;0;0;00:01:15
2267;0;0;2269;0;0;2274;0;0;0;00:01:24
2268;0;0;2270;0;0;2271;0;0;0;00:01:32
2259;0;0;2263;0;0;2268;0;0;0;00:01:41
2263;0;0;2264;0;0;2273;0;0;0;00:01:50
2264;0;0;2269;0;0;2272;0;0;0;00:01:59
2253;0;0;2265;0;0;2267;0;0;0;00:02:07
2255;0;0;2258;0;0;2265;0;0;0;00:02:16
2258;0;0;2267;0;0;2270;0;0;0;00:02:25
2259;0;0;2272;0;0;2270;0;0;0;00:02:34
2262;0;0;2273;0;0;2271;0;0;0;00:02:42
2261;0;0;2270;0;0;2271;0;0;0;00:02:51
2262;0;0;2265;0;0;2267;0;0;0;00:03:00
2259;0;0;2260;0;0;2268;0;0;0;00:03:09
2265;0;0;2257;0;0;2267;0;0;0;00:03:18
2264;0;0;2268;0;0;2270;0;0;0;00:03:26
2263;0;0;2272;0;0;2269;0;0;0;00:03:35
2262;0;0;2276;0;0;2272;0;0;0;00:03:44
2262;0;0;2276;0;0;2274;0;0;0;00:03:53
2258;0;0;2271;0;0;2272;0;0;0;00:04:01
2251;0;0;2262;0;0;2270;0;0;0;00:04:10
2252;0;0;2263;0;0;2271;0;0;0;00:04:19
2258;0;0;2268;0;0;2272;0;0;0;00:04:28
2262;0;0;2271;0;0;2272;0;0;0;00:04:37
2257;0;0;2257;0;0;2266;0;0;0;00:04:45
2258;0;0;2260;0;0;2269;0;0;0;00:04:54
2266;0;0;2262;0;0;2271;0;0;0;00:05:03
2264;0;0;2272;0;0;2271;0;0;0;00:05:12
2259;0;0;2271;0;0;2269;0;0;0;00:05:20
2261;0;0;2269;0;0;2271;0;0;0;00:05:29
2262;0;0;2266;0;0;2271;0;0;0;00:05:38
2260;0;0;2274;0;0;2272;0;0;0;00:05:47
2264;0;0;2274;0;0;2274;0;0;0;00:05:56
2261;0;0;2273;0;0;2273;0;0;0;00:06:04
2261;0;0;2271;0;0;2273;0;0;0;00:06:13
2259;0;0;2265;0;0;2272;0;0;0;00:06:22
2261;0;0;2266;0;0;2270;0;0;0;00:06:31
2261;0;0;2264;0;0;2269;0;0;0;00:06:39
2256;0;0;2266;0;0;2273;0;0;0;00:06:48
2255;0;0;2265;0;0;2269;0;0;0;00:06:57
2260;0;0;2266;0;0;2269;0;0;0;00:07:06
2262;0;0;2268;0;0;2273;0;0;0;00:07:14
2261;0;0;2269;0;0;2269;0;0;0;00:07:23
2263;0;0;2268;0;0;2271;0;0;0;00:07:32
2264;0;0;2265;0;0;2271;0;0;0;00:07:41
2262;0;0;2267;0;0;2270;0;0;0;00:07:50
2262;0;0;2269;0;0;2269;0;0;0;00:07:59
2258;0;0;2266;0;0;2269;0;0;0;00:08:07
2259;0;0;2268;0;0;2272;0;0;0;00:08:16
2261;0;0;2272;0;0;2271;0;0;0;00:08:25
2258;0;0;2274;0;0;2265;0;0;0;00:08:34
2262;0;0;2275;0;0;2270;0;0;0;00:08:42
2265;0;0;2265;0;0;2271;0;0;0;00:08:51
2266;0;0;2270;0;0;2273;0;0;0;00:09:00
2261;0;0;2270;0;0;2271;0;0;0;00:09:09
2263;0;0;2274;0;0;2274;0;0;0;00:09:17
2259;0;0;2273;0;0;2271;0;0;0;00:09:26
2256;0;0;2269;0;0;2271;0;0;0;00:09:35
2260;0;0;2268;0;0;2268;0;0;0;00:09:44
2264;0;0;2273;0;0;2274;0;0;0;00:09:52
2269;0;0;2274;0;0;2277;0;0;0;00:10:01
2258;0;0;2267;0;0;2276;0;0;0;00:10:10
2255;0;0;2269;0;0;2270;0;0;0;00:10:19
2255;0;0;2266;0;0;2270;0;0;0;00:10:28
2263;0;0;2268;0;0;2277;0;0;0;00:10:36
2266;0;0;2269;0;0;2274;0;0;0;00:10:45
