Voltage Phase-V L1(V x10);Current-A L1(mA);Power Factor-PF L1(x 100);Voltage Phase-V L2(V x10);Current-A L2(mA);Power Factor-PF L2(x 100);Voltage Phase-V L3(V x10);Current-A L3(mA);Power Factor-PF L3(x 100);kwh(kwh);time
2202;9460;77;2211;9820;82;2208;9500;80;6571239;00:01:54
2203;9440;77;2212;9860;82;2209;9500;80;6571251;00:02:03
2201;9440;77;2212;9820;82;2209;9540;80;6571264;00:02:12
2202;9460;77;2212;9840;82;2209;9540;80;6571277;00:02:21
2202;9420;76;2211;9820;82;2209;9520;80;6571289;00:02:29
2201;9460;77;2213;9840;82;2209;9520;80;6571302;00:02:39
2202;9440;77;2212;9860;82;2211;9540;80;6571315;00:02:47
2202;9440;77;2211;9880;82;2209;9520;81;6571327;00:02:56
2201;9440;77;2212;9840;82;2209;9580;81;6571340;00:03:05
2203;9420;77;2213;9840;82;2210;9520;80;6571351;00:03:14
2203;9420;77;2211;9820;82;2211;9580;80;6571364;00:03:23
2204;9460;77;2213;9800;82;2210;9540;80;6571377;00:03:32
2204;9420;77;2212;9840;82;2211;9560;80;6571389;00:03:41
2203;9440;77;2213;9800;82;2211;9560;80;6571402;00:04:10
2204;9460;77;2214;9820;82;2210;9480;80;6571415;00:04:18
2203;9480;76;2213;9860;82;2212;9560;80;6571427;00:04:27
2202;9460;77;2213;9860;82;2211;9560;80;6571440;00:04:36
2204;9440;77;2213;9840;82;2211;9500;80;6571451;00:04:45
2204;9440;77;2212;9860;82;2212;9540;80;6571464;00:04:54
2205;9480;77;2215;9840;82;2211;9500;80;6571477;00:05:03
2204;9480;77;2213;9880;82;2211;9500;80;6571489;00:05:12
2204;9440;76;2213;9860;82;2212;9540;80;6571502;00:05:21
2204;9420;77;2214;9840;82;2211;9540;80;6571515;00:05:29
2202;9420;77;2211;9860;82;2212;9540;80;6571528;00:05:38
2205;9460;76;2214;9860;82;2211;9500;80;6571540;00:05:47
2204;9460;77;2212;9880;82;2212;9480;80;6571552;00:05:56
2204;9440;77;2213;9900;82;2212;9520;80;6571564;00:06:05
2204;9460;77;2215;9880;82;2210;9540;80;6571577;00:06:14
2205;9460;77;2212;9900;82;2212;9560;80;6571590;00:06:23
2203;9440;77;2214;9840;82;2212;9560;80;6571602;00:06:32
2204;9460;76;2215;9780;82;2211;9500;80;6571615;00:06:40
2204;9440;77;2212;9800;82;2213;9500;80;6571628;00:06:49
2203;9480;77;2214;9840;82;2211;9520;81;6571640;00:06:58
2204;9440;76;2214;9880;82;2209;9500;81;6571652;00:07:07
2202;9440;77;2210;9860;82;2209;9540;80;6571664;00:07:16
2201;9440;77;2210;9840;82;2211;9540;80;6571677;00:07:25
2201;9420;77;2210;9820;82;2210;9520;80;6571690;00:07:34
2204;9460;77;2212;9860;82;2211;9520;80;6571702;00:07:43
2202;9480;77;2213;9860;82;2209;9540;80;6571715;00:07:52
2203;9480;77;2213;9880;82;2209;9540;81;6571728;00:08:00
2202;9460;77;2213;9860;82;2210;9560;80;6571741;00:08:09
2204;9480;77;2213;9860;82;2209;9500;81;6571753;00:08:18
2203;9460;77;2212;9860;82;2209;9540;80;6571765;00:08:27
2204;9460;76;2213;9860;82;2210;9540;80;6571777;00:08:36
2203;9440;77;2211;9840;82;2211;9500;80;6571790;00:08:45
2203;9440;77;2212;9840;82;2210;9480;80;6571803;00:08:54
2204;9460;76;2212;9820;82;2210;9520;80;6571815;00:09:03
2204;9480;77;2212;9860;82;2210;9500;80;6571828;00:09:11
2202;9460;77;2214;9900;82;2210;9560;80;6571841;00:09:20
2204;9460;77;2214;9880;82;2210;9520;81;6571853;00:09:29
2202;9440;77;2213;9860;82;2208;9500;80;6571866;00:09:38
