Voltage Phase-V L1(V x10);Current-A L1(mA);Power Factor-PF L1(x 100);Voltage Phase-V L2(V x10);Current-A L2(mA);Power Factor-PF L2(x 100);Voltage Phase-V L3(V x10);Current-A L3(mA);Power Factor-PF L3(x 100);kwh(Kwh);timeDate
2216;12054;17;2215;11634;23;2218;12222;18;40881343;00:01:16;2020-06-09
2210;12075;18;2207;11676;23;2210;12159;19;40881343;00:01:25;2020-06-09
2211;11970;17;2209;11676;23;2211;12159;19;40881343;00:01:33;2020-06-09
2212;12054;17;2213;11634;23;2212;12180;18;40881343;00:01:42;2020-06-09
2211;12180;19;2212;11697;21;2211;11907;18;40881343;00:01:51;2020-06-09
2213;12033;17;2212;11634;23;2210;12075;18;40881343;00:02:00;2020-06-09
2213;12012;17;2212;11592;23;2210;12096;19;40881343;00:02:08;2020-06-09
2212;12159;19;2213;11676;21;2211;11949;19;40881343;00:02:17;2020-06-09
2209;11970;17;2213;11592;22;2212;12012;19;40881343;00:02:26;2020-06-09
2208;12096;17;2216;11550;22;2212;11865;18;40881343;00:02:35;2020-06-09
2206;12180;18;2214;11676;21;2212;11928;17;40881343;00:02:43;2020-06-09
2207;12159;18;2214;11592;21;2213;11991;18;40881343;00:02:52;2020-06-09
2205;11991;17;2207;11634;23;2208;12075;18;40881343;00:03:01;2020-06-09
2204;11970;17;2204;11676;23;2207;11970;17;40881343;00:03:10;2020-06-09
2201;12159;19;2208;11676;21;2205;11865;17;40881343;00:03:18;2020-06-09
2202;12159;18;2208;11550;21;2204;11886;18;40881343;00:03:27;2020-06-09
2203;11928;17;2204;11592;23;2202;12096;19;40881343;00:03:36;2020-06-09
2201;11991;18;2208;11697;22;2208;11949;17;40881343;00:03:45;2020-06-09
2203;12159;18;2207;11571;21;2206;11949;19;40881343;00:03:54;2020-06-09
2201;12012;17;2209;11550;23;2208;12117;18;40881343;00:04:02;2020-06-09
2202;12138;18;2209;11592;21;2208;11844;17;40881343;00:04:11;2020-06-09
2202;12033;17;2210;11613;23;2209;12138;18;40881343;00:04:20;2020-06-09
2204;12075;18;2207;11676;23;2208;12075;18;40881343;00:04:29;2020-06-09
2204;12054;18;2208;11676;22;2206;11865;18;40881343;00:04:37;2020-06-09
2207;11970;18;2209;11697;23;2207;11970;17;40881343;00:04:46;2020-06-09
2206;12138;17;2210;11550;22;2206;12075;18;40881343;00:04:55;2020-06-09
2204;12138;18;2210;11634;21;2209;11865;18;40881343;00:05:04;2020-06-09
2204;12075;18;2211;11676;21;2208;11865;17;40881343;00:05:12;2020-06-09
2204;11991;18;2210;11697;23;2209;12012;17;40881343;00:05:21;2020-06-09
2203;12075;17;2212;11571;22;2210;12138;18;40881343;00:05:30;2020-06-09
2202;12096;19;2210;11676;21;2212;11865;18;40881343;00:05:39;2020-06-09
2202;12117;19;2208;11718;22;2210;12180;18;40881343;00:05:48;2020-06-09
2206;11991;17;2208;11550;22;2209;11970;17;40881343;00:05:56;2020-06-09
2203;11991;18;2209;11697;23;2209;12159;18;40881343;00:06:05;2020-06-09
2203;12138;17;2213;11529;22;2209;12033;18;40881343;00:06:14;2020-06-09
2203;11886;18;2211;11655;23;2209;12033;17;40881343;00:06:23;2020-06-09
2203;12159;17;2211;11550;22;2208;12075;19;40881343;00:06:31;2020-06-09
2202;12012;17;2210;11529;22;2202;11949;18;40881343;00:06:40;2020-06-09
2204;11970;17;2210;11613;23;2201;12075;19;40881343;00:06:49;2020-06-09
2199;11928;18;2212;11718;23;2208;11970;17;40881343;00:06:58;2020-06-09
2205;12033;17;2212;11634;23;2205;12033;17;40881343;00:07:07;2020-06-09
2202;12012;17;2213;11718;23;2206;11949;17;40881343;00:07:15;2020-06-09
2197;11970;18;2213;11739;21;2209;11907;18;40881343;00:07:24;2020-06-09
2199;11949;18;2213;11781;22;2209;12054;17;40881343;00:07:33;2020-06-09
2201;12138;18;2213;11676;22;2210;11970;17;40881343;00:07:42;2020-06-09
2203;12117;17;2213;11634;23;2210;12159;18;40881343;00:07:51;2020-06-09
2205;12138;19;2212;11718;22;2211;11949;17;40881343;00:07:59;2020-06-09
2207;12117;17;2211;11592;22;2209;12159;18;40881343;00:08:08;2020-06-09
2210;11991;18;2210;11676;23;2212;12012;17;40881343;00:08:17;2020-06-09
2211;12201;18;2209;11592;21;2211;11907;18;40881343;00:08:26;2020-06-09
2210;12159;17;2212;11571;22;2213;11907;18;40881343;00:08:35;2020-06-09
2207;12075;18;2211;11613;23;2213;12138;19;40881343;00:08:43;2020-06-09
2204;12075;18;2211;11718;23;2215;12075;17;40881343;00:08:52;2020-06-09
2208;12117;18;2212;11697;23;2212;12117;18;40881343;00:09:01;2020-06-09
2208;12033;18;2214;11718;22;2214;11949;17;40881343;00:09:10;2020-06-09
2207;12096;17;2213;11571;22;2212;11991;19;40881343;00:09:19;2020-06-09
2206;12033;17;2213;11613;23;2212;12138;18;40881343;00:09:27;2020-06-09
2206;12033;18;2211;11697;23;2207;12117;18;40881343;00:09:36;2020-06-09
2206;12138;18;2213;11697;22;2211;11928;17;40881343;00:09:45;2020-06-09
2206;12054;17;2215;11634;23;2210;12138;18;40881343;00:09:54;2020-06-09
2202;12117;18;2215;11634;21;2211;11865;18;40881343;00:10:02;2020-06-09
2205;12054;17;2214;11613;22;2211;12096;19;40881343;00:10:11;2020-06-09
2202;12075;17;2214;11550;21;2207;11886;17;40881343;00:10:20;2020-06-09
2199;12054;17;2214;11571;21;2206;11907;19;40881343;00:10:29;2020-06-09
2202;11970;17;2212;11697;23;2208;12054;17;40881343;00:10:37;2020-06-09
2204;12138;18;2214;11592;22;2210;11991;19;40881343;00:10:46;2020-06-09
2204;11991;17;2214;11655;23;2211;12159;19;40881343;00:10:55;2020-06-09
2206;11991;17;2213;11571;21;2210;12012;19;40881343;00:11:04;2020-06-09
2208;11991;18;2212;11718;22;2210;11907;17;40881343;00:11:12;2020-06-09
2208;12159;18;2213;11655;21;2212;11886;18;40881343;00:11:21;2020-06-09
2207;11970;17;2211;11634;22;2210;12075;19;40881343;00:11:30;2020-06-09
2207;12054;18;2212;11697;23;2208;12096;17;40881343;00:11:39;2020-06-09
2207;12033;18;2214;11718;22;2213;11928;17;40881343;00:11:47;2020-06-09
2208;11991;17;2214;11634;23;2214;12138;19;40881343;00:11:56;2020-06-09
2207;12012;17;2212;11634;23;2214;12138;18;40881343;00:12:05;2020-06-09
2209;12054;18;2211;11676;23;2214;12054;17;40881343;00:12:14;2020-06-09
2207;12117;17;2213;11592;21;2213;11907;18;40881343;00:12:23;2020-06-09
2206;12075;17;2214;11592;23;2212;12159;18;40881343;00:12:31;2020-06-09
2206;12159;18;2216;11613;21;2214;11928;18;40881343;00:12:40;2020-06-09
2206;12096;17;2214;11613;21;2213;11949;18;40881343;00:12:49;2020-06-09
2208;12012;18;2214;11676;23;2213;12033;17;40881343;00:12:58;2020-06-09
2209;12138;18;2214;11634;21;2209;11907;18;40881343;00:13:06;2020-06-09
2206;11991;18;2214;11697;22;2210;11970;17;40881343;00:13:15;2020-06-09
2203;12096;17;2217;11634;22;2210;12096;18;40881343;00:13:24;2020-06-09
2206;12012;17;2216;11634;22;2213;12096;18;40881343;00:13:33;2020-06-09
2208;12033;17;2214;11655;23;2214;12117;18;40881343;00:13:41;2020-06-09
2208;12159;18;2216;11634;21;2215;12054;18;40881343;00:13:50;2020-06-09
2209;12054;18;2216;11718;22;2216;12012;17;40881343;00:13:59;2020-06-09
2207;12138;18;2214;11718;22;2209;11928;18;40881343;00:14:08;2020-06-09
2206;12180;18;2216;11655;22;2216;12012;19;40881343;00:14:16;2020-06-09
2211;12033;17;2216;11634;23;2214;12117;18;40881343;00:14:25;2020-06-09
2209;12054;18;2218;11718;22;2215;12054;17;40881343;00:14:34;2020-06-09
2207;12075;18;2218;11739;22;2214;11949;18;40881343;00:14:43;2020-06-09
2210;12054;17;2217;11655;22;2215;12096;18;40881343;00:14:52;2020-06-09
2206;12054;17;2216;11634;22;2215;12138;18;40881343;00:15:00;2020-06-09
2208;12033;18;2217;11676;23;2217;12180;18;40881343;00:15:09;2020-06-09
2207;12159;18;2217;11718;22;2214;11970;17;40881343;00:15:18;2020-06-09
2207;12159;18;2217;11718;22;2211;11928;18;40881343;00:15:27;2020-06-09
2209;12180;18;2215;11697;22;2210;12075;17;40881343;00:15:36;2020-06-09
2209;12012;17;2215;11676;23;2212;12138;18;40881343;00:15:44;2020-06-09
2207;12012;18;2216;11697;23;2217;12054;17;40881343;00:15:53;2020-06-09
2210;12054;17;2218;11697;23;2215;12159;18;40881343;00:16:02;2020-06-09
2207;12159;18;2215;11697;22;2214;11949;18;40881343;00:16:11;2020-06-09
2205;12159;18;2216;11739;22;2213;12054;17;40881343;00:16:19;2020-06-09
2207;12180;18;2218;11718;21;2216;11949;18;40881343;00:16:28;2020-06-09
2210;12012;17;2216;11697;22;2211;11949;17;40881343;00:16:37;2020-06-09
2206;12117;18;2216;11655;21;2209;11928;18;40881343;00:16:46;2020-06-09
2209;12075;17;2215;11655;23;2211;12096;18;40881343;00:16:54;2020-06-09
2209;12012;17;2213;11655;23;2211;12138;18;40881343;00:17:03;2020-06-09
2206;12012;18;2214;11655;23;2212;12138;18;40881343;00:17:12;2020-06-09
2208;12033;17;2216;11634;22;2211;12054;18;40881343;00:17:21;2020-06-09
2209;12096;17;2216;11655;21;2214;11949;18;40881343;00:17:29;2020-06-09
2210;12096;17;2217;11655;22;2217;12096;18;40881343;00:17:38;2020-06-09
2209;12033;17;2218;11655;22;2216;12117;18;40881343;00:17:47;2020-06-09
2209;12159;18;2217;11676;21;2215;11928;18;40881343;00:17:56;2020-06-09
2209;12096;17;2218;11655;22;2214;12117;18;40881343;00:18:05;2020-06-09
2209;12012;17;2218;11697;23;2215;12159;18;40881343;00:18:13;2020-06-09
2212;12033;18;2215;11655;23;2216;12138;18;40881343;00:18:22;2020-06-09
2215;12201;18;2218;11676;22;2216;11949;18;40881343;00:18:31;2020-06-09
2214;12075;18;2218;11697;22;2215;11949;18;40881343;00:18:40;2020-06-09
2213;12096;18;2216;11718;22;2214;12096;17;40881343;00:18:49;2020-06-09
2209;12117;18;2217;11676;23;2216;12159;18;40881343;00:18:57;2020-06-09
2209;12096;18;2215;11655;21;2212;11928;18;40881343;00:19:06;2020-06-09
2210;12033;18;2216;11676;23;2211;12117;18;40881343;00:19:15;2020-06-09
2213;12117;18;2215;11676;22;2215;11928;18;40881343;00:19:24;2020-06-09
2211;12159;18;2217;11634;21;2214;12054;18;40881343;00:19:33;2020-06-09
2208;12138;17;2219;11676;22;2212;12138;18;40881343;00:19:41;2020-06-09
2207;12138;18;2218;11697;22;2214;12096;18;40881343;00:19:50;2020-06-09
2205;12075;17;2219;11676;22;2214;12117;18;40881343;00:19:59;2020-06-09
2210;12159;18;2218;11676;22;2214;12117;18;40881343;00:20:08;2020-06-09
2210;12117;18;2216;11697;23;2213;12096;17;40881343;00:20:16;2020-06-09
2210;12054;17;2215;11676;23;2212;12117;18;40881343;00:20:25;2020-06-09
2209;12159;18;2215;11676;22;2210;12075;18;40881343;00:20:34;2020-06-09
2210;12054;17;2218;11676;22;2216;12138;18;40881343;00:20:43;2020-06-09
2207;12033;17;2218;11676;22;2212;12096;18;40881343;00:20:51;2020-06-09
2207;12117;18;2218;11718;22;2213;12096;17;40881343;00:21:00;2020-06-09
2205;12012;18;2217;11676;23;2213;12138;18;40881343;00:21:09;2020-06-09
2210;12117;18;2216;11676;22;2215;12054;17;40881343;00:21:18;2020-06-09
2207;12075;18;2218;11697;23;2215;12117;17;40881343;00:21:27;2020-06-09
2210;12117;18;2218;11634;22;2214;12054;18;40881343;00:21:35;2020-06-09
2211;12117;18;2217;11718;22;2213;11949;18;40881343;00:21:44;2020-06-09
2212;12033;17;2220;11697;23;2216;12159;17;40881343;00:21:53;2020-06-09
2210;12117;17;2219;11676;21;2216;11991;18;40881343;00:22:02;2020-06-09
